"","state","site","date","dailycases","note"
"105","Brazil","Alagoas",2020-04-04,1,"NA"
"106","Brazil","Alagoas",2020-04-05,5,"NA"
"107","Brazil","Alagoas",2020-04-06,3,"NA"
"108","Brazil","Alagoas",2020-04-07,1,"NA"
"109","Brazil","Alagoas",2020-04-08,5,"NA"
"110","Brazil","Alagoas",2020-04-09,0,"NA"
"111","Brazil","Alagoas",2020-04-10,8,"NA"
"112","Brazil","Alagoas",2020-04-11,3,"NA"
"113","Brazil","Alagoas",2020-04-12,0,"NA"
"114","Brazil","Alagoas",2020-04-13,2,"NA"
"115","Brazil","Alagoas",2020-04-14,22,"NA"
"116","Brazil","Alagoas",2020-04-15,10,"NA"
"117","Brazil","Alagoas",2020-04-16,7,"NA"
"118","Brazil","Alagoas",2020-04-17,21,"NA"
"119","Brazil","Alagoas",2020-04-18,22,"NA"
"120","Brazil","Alagoas",2020-04-19,27,"NA"
"121","Brazil","Alagoas",2020-04-20,12,"NA"
"122","Brazil","Alagoas",2020-04-21,39,"NA"
"123","Brazil","Alagoas",2020-04-22,33,"NA"
"124","Brazil","Alagoas",2020-04-23,81,"NA"
"125","Brazil","Alagoas",2020-04-24,89,"NA"
"126","Brazil","Alagoas",2020-04-25,88,"NA"
"127","Brazil","Alagoas",2020-04-26,53,"NA"
"128","Brazil","Alagoas",2020-04-27,89,"NA"
"129","Brazil","Alagoas",2020-04-28,134,"NA"
"130","Brazil","Alagoas",2020-04-29,180,"NA"
"131","Brazil","Alagoas",2020-04-30,87,"NA"
"132","Brazil","Alagoas",2020-05-01,182,"NA"
"133","Brazil","Amapá",2020-02-26,0,"NA"
"134","Brazil","Amapá",2020-02-27,0,"NA"
"135","Brazil","Amapá",2020-02-28,0,"NA"
"136","Brazil","Amapá",2020-02-29,0,"NA"
"137","Brazil","Amapá",2020-03-01,0,"NA"
"138","Brazil","Amapá",2020-03-02,0,"NA"
"139","Brazil","Amapá",2020-03-03,0,"NA"
"140","Brazil","Amapá",2020-03-04,0,"NA"
"141","Brazil","Amapá",2020-03-05,0,"NA"
"142","Brazil","Amapá",2020-03-06,0,"NA"
"143","Brazil","Amapá",2020-03-07,0,"NA"
"144","Brazil","Amapá",2020-03-08,0,"NA"
"145","Brazil","Amapá",2020-03-09,0,"NA"
"146","Brazil","Amapá",2020-03-10,0,"NA"
"147","Brazil","Amapá",2020-03-11,0,"NA"
"148","Brazil","Amapá",2020-03-12,0,"NA"
"149","Brazil","Amapá",2020-03-13,0,"NA"
"150","Brazil","Amapá",2020-03-14,0,"NA"
"151","Brazil","Amapá",2020-03-15,0,"NA"
"152","Brazil","Amapá",2020-03-16,0,"NA"
"153","Brazil","Amapá",2020-03-17,0,"NA"
"154","Brazil","Amapá",2020-03-18,0,"NA"
"155","Brazil","Amapá",2020-03-19,0,"NA"
"156","Brazil","Amapá",2020-03-20,1,"NA"
"157","Brazil","Amapá",2020-03-21,0,"NA"
"158","Brazil","Amapá",2020-03-22,0,"NA"
"159","Brazil","Amapá",2020-03-23,0,"NA"
"160","Brazil","Amapá",2020-03-24,0,"NA"
"161","Brazil","Amapá",2020-03-25,0,"NA"
"162","Brazil","Amapá",2020-03-26,1,"NA"
"163","Brazil","Amapá",2020-03-27,0,"NA"
"164","Brazil","Amapá",2020-03-28,2,"NA"
"165","Brazil","Amapá",2020-03-29,0,"NA"
"166","Brazil","Amapá",2020-03-30,4,"NA"
"167","Brazil","Amapá",2020-03-31,2,"NA"
"168","Brazil","Amapá",2020-04-01,1,"NA"
"169","Brazil","Amapá",2020-04-02,0,"NA"
"170","Brazil","Amapá",2020-04-03,8,"NA"
"171","Brazil","Amapá",2020-04-04,9,"NA"
"172","Brazil","Amapá",2020-04-05,1,"NA"
"173","Brazil","Amapá",2020-04-06,5,"NA"
"174","Brazil","Amapá",2020-04-07,14,"NA"
"175","Brazil","Amapá",2020-04-08,59,"NA"
"176","Brazil","Amapá",2020-04-09,21,"NA"
"177","Brazil","Amapá",2020-04-10,38,"NA"
"178","Brazil","Amapá",2020-04-11,27,"NA"
"179","Brazil","Amapá",2020-04-12,37,"NA"
"180","Brazil","Amapá",2020-04-13,12,"NA"
"181","Brazil","Amapá",2020-04-14,65,"NA"
"182","Brazil","Amapá",2020-04-15,27,"NA"
"183","Brazil","Amapá",2020-04-16,28,"NA"
"184","Brazil","Amapá",2020-04-17,8,"NA"
"185","Brazil","Amapá",2020-04-18,23,"NA"
"186","Brazil","Amapá",2020-04-19,23,"NA"
"187","Brazil","Amapá",2020-04-20,17,"NA"
"188","Brazil","Amapá",2020-04-21,24,"NA"
"189","Brazil","Amapá",2020-04-22,22,"NA"
"190","Brazil","Amapá",2020-04-23,69,"NA"
"191","Brazil","Amapá",2020-04-24,85,"NA"
"192","Brazil","Amapá",2020-04-25,52,"NA"
"193","Brazil","Amapá",2020-04-26,113,"NA"
"194","Brazil","Amapá",2020-04-27,44,"NA"
"195","Brazil","Amapá",2020-04-28,76,"NA"
"196","Brazil","Amapá",2020-04-29,98,"NA"
"197","Brazil","Amapá",2020-04-30,64,"NA"
"198","Brazil","Amapá",2020-05-01,41,"NA"
"199","Brazil","Amazonas",2020-02-26,0,"NA"
"200","Brazil","Amazonas",2020-02-27,0,"NA"
"201","Brazil","Amazonas",2020-02-28,0,"NA"
"202","Brazil","Amazonas",2020-02-29,0,"NA"
"203","Brazil","Amazonas",2020-03-01,0,"NA"
"204","Brazil","Amazonas",2020-03-02,0,"NA"
"205","Brazil","Amazonas",2020-03-03,0,"NA"
"206","Brazil","Amazonas",2020-03-04,0,"NA"
"207","Brazil","Amazonas",2020-03-05,0,"NA"
"208","Brazil","Amazonas",2020-03-06,0,"NA"
