,state,date,region_name,dailycases,note,CODE_2
81,Australia,2020-04-15,Australian Capital Territory,0,,AUS.2_1
82,Australia,2020-04-16,Australian Capital Territory,0,,AUS.2_1
83,Australia,2020-04-17,Australian Capital Territory,0,,AUS.2_1
84,Australia,2020-04-18,Australian Capital Territory,0,,AUS.2_1
85,Australia,2020-04-19,Australian Capital Territory,0,,AUS.2_1
86,Australia,2020-04-20,Australian Capital Territory,1,,AUS.2_1
87,Australia,2020-04-21,Australian Capital Territory,0,,AUS.2_1
88,Australia,2020-04-22,Australian Capital Territory,0,,AUS.2_1
89,Australia,2020-04-23,Australian Capital Territory,0,,AUS.2_1
90,Australia,2020-04-24,Australian Capital Territory,1,,AUS.2_1
91,Australia,2020-04-25,Australian Capital Territory,1,,AUS.2_1
92,Australia,2020-04-26,Australian Capital Territory,0,,AUS.2_1
93,Australia,2020-04-27,Australian Capital Territory,0,,AUS.2_1
94,Australia,2020-04-28,Australian Capital Territory,0,,AUS.2_1
95,Australia,2020-04-29,Australian Capital Territory,0,,AUS.2_1
96,Australia,2020-04-30,Australian Capital Territory,0,,AUS.2_1
97,Australia,2020-05-01,Australian Capital Territory,0,,AUS.2_1
98,Australia,2020-05-02,Australian Capital Territory,0,,AUS.2_1
99,Australia,2020-05-03,Australian Capital Territory,0,,AUS.2_1
100,Australia,2020-05-04,Australian Capital Territory,1,,AUS.2_1
101,Australia,2020-05-05,Australian Capital Territory,0,,AUS.2_1
102,Australia,2020-05-06,Australian Capital Territory,0,,AUS.2_1
103,Australia,2020-05-07,Australian Capital Territory,0,,AUS.2_1
104,Australia,2020-05-08,Australian Capital Territory,0,,AUS.2_1
105,Australia,2020-05-09,Australian Capital Territory,0,,AUS.2_1
106,Australia,2020-05-10,Australian Capital Territory,0,,AUS.2_1
107,Australia,2020-05-11,Australian Capital Territory,0,,AUS.2_1
108,Australia,2020-05-12,Australian Capital Territory,0,,AUS.2_1
109,Australia,2020-05-13,Australian Capital Territory,0,,AUS.2_1
110,Australia,2020-05-14,Australian Capital Territory,0,,AUS.2_1
111,Australia,2020-05-15,Australian Capital Territory,0,,AUS.2_1
112,Australia,2020-05-16,Australian Capital Territory,0,,AUS.2_1
113,Australia,2020-05-17,Australian Capital Territory,0,,AUS.2_1
114,Australia,2020-05-18,Australian Capital Territory,0,,AUS.2_1
115,Australia,2020-05-19,Australian Capital Territory,0,,AUS.2_1
116,Australia,2020-05-20,Australian Capital Territory,0,,AUS.2_1
117,Australia,2020-05-21,Australian Capital Territory,0,,AUS.2_1
118,Australia,2020-05-22,Australian Capital Territory,0,,AUS.2_1
119,Australia,2020-05-23,Australian Capital Territory,0,,AUS.2_1
120,Australia,2020-05-24,Australian Capital Territory,0,,AUS.2_1
121,Australia,2020-05-25,Australian Capital Territory,0,,AUS.2_1
122,Australia,2020-05-26,Australian Capital Territory,0,,AUS.2_1
123,Australia,2020-05-27,Australian Capital Territory,0,,AUS.2_1
124,Australia,2020-05-28,Australian Capital Territory,0,,AUS.2_1
125,Australia,2020-05-29,Australian Capital Territory,0,,AUS.2_1
126,Australia,2020-05-30,Australian Capital Territory,0,,AUS.2_1
127,Australia,2020-05-31,Australian Capital Territory,0,,AUS.2_1
128,Australia,2020-06-01,Australian Capital Territory,0,,AUS.2_1
129,Australia,2020-06-02,Australian Capital Territory,0,,AUS.2_1
130,Australia,2020-06-03,Australian Capital Territory,0,,AUS.2_1
131,Australia,2020-06-04,Australian Capital Territory,0,,AUS.2_1
132,Australia,2020-06-05,Australian Capital Territory,0,,AUS.2_1
133,Australia,2020-06-06,Australian Capital Territory,0,,AUS.2_1
134,Australia,2020-06-07,Australian Capital Territory,1,,AUS.2_1
135,Australia,2020-06-08,Australian Capital Territory,0,,AUS.2_1
136,Australia,2020-06-09,Australian Capital Territory,0,,AUS.2_1
137,Australia,2020-06-10,Australian Capital Territory,0,,AUS.2_1
138,Australia,2020-06-11,Australian Capital Territory,0,,AUS.2_1
139,Australia,2020-06-12,Australian Capital Territory,0,,AUS.2_1
140,Australia,2020-06-13,Australian Capital Territory,0,,AUS.2_1
141,Australia,2020-06-14,Australian Capital Territory,0,,AUS.2_1
142,Australia,2020-06-15,Australian Capital Territory,0,,AUS.2_1
143,Australia,2020-06-16,Australian Capital Territory,0,,AUS.2_1
144,Australia,2020-06-17,Australian Capital Territory,0,,AUS.2_1
145,Australia,2020-06-18,Australian Capital Territory,0,,AUS.2_1
146,Australia,2020-06-19,Australian Capital Territory,0,,AUS.2_1
147,Australia,2020-06-20,Australian Capital Territory,0,,AUS.2_1
148,Australia,2020-06-21,Australian Capital Territory,0,,AUS.2_1
149,Australia,2020-06-22,Australian Capital Territory,0,,AUS.2_1
150,Australia,2020-06-23,Australian Capital Territory,0,,AUS.2_1
151,Australia,2020-06-24,Australian Capital Territory,0,,AUS.2_1
152,Australia,2020-06-25,Australian Capital Territory,0,,AUS.2_1
153,Australia,2020-06-26,Australian Capital Territory,0,,AUS.2_1
154,Australia,2020-06-27,Australian Capital Territory,0,,AUS.2_1
155,Australia,2020-06-28,Australian Capital Territory,0,,AUS.2_1
156,Australia,2020-06-29,Australian Capital Territory,0,,AUS.2_1
157,Australia,2020-06-30,Australian Capital Territory,0,,AUS.2_1
158,Australia,2020-07-01,Australian Capital Territory,0,,AUS.2_1
159,Australia,2020-07-02,Australian Capital Territory,0,,AUS.2_1
160,Australia,2020-07-03,Australian Capital Territory,0,,AUS.2_1
161,Australia,2020-07-04,Australian Capital Territory,0,,AUS.2_1
