,state,date,region_name,dailycases,note,CODE_2
88,Argentina,2020-03-21,Ciudad de Buenos Aires,29.0,,ARG.5_1
89,Argentina,2020-03-22,Ciudad de Buenos Aires,11.0,,ARG.5_1
90,Argentina,2020-03-23,Ciudad de Buenos Aires,11.0,,ARG.5_1
91,Argentina,2020-03-24,Ciudad de Buenos Aires,29.0,,ARG.5_1
92,Argentina,2020-03-25,Ciudad de Buenos Aires,21.0,,ARG.5_1
93,Argentina,2020-03-26,Ciudad de Buenos Aires,30.0,,ARG.5_1
94,Argentina,2020-03-27,Ciudad de Buenos Aires,27.0,,ARG.5_1
95,Argentina,2020-03-28,Ciudad de Buenos Aires,18.0,,ARG.5_1
96,Argentina,2020-03-29,Ciudad de Buenos Aires,13.0,,ARG.5_1
97,Argentina,2020-03-30,Ciudad de Buenos Aires,34.0,,ARG.5_1
98,Argentina,2020-03-31,Ciudad de Buenos Aires,19.0,,ARG.5_1
99,Argentina,2020-04-01,Ciudad de Buenos Aires,10.0,,ARG.5_1
100,Argentina,2020-04-02,Ciudad de Buenos Aires,24.0,,ARG.5_1
101,Argentina,2020-04-03,Ciudad de Buenos Aires,28.0,,ARG.5_1
102,Argentina,2020-04-04,Ciudad de Buenos Aires,34.0,,ARG.5_1
103,Argentina,2020-04-05,Ciudad de Buenos Aires,32.0,,ARG.5_1
104,Argentina,2020-04-06,Ciudad de Buenos Aires,17.0,,ARG.5_1
105,Argentina,2020-04-07,Ciudad de Buenos Aires,24.0,,ARG.5_1
106,Argentina,2020-04-08,Ciudad de Buenos Aires,18.0,,ARG.5_1
107,Argentina,2020-04-09,Ciudad de Buenos Aires,23.0,,ARG.5_1
108,Argentina,2020-04-10,Ciudad de Buenos Aires,11.0,,ARG.5_1
109,Argentina,2020-04-11,Ciudad de Buenos Aires,46.0,,ARG.5_1
110,Argentina,2020-04-12,Ciudad de Buenos Aires,8.0,,ARG.5_1
111,Argentina,2020-04-13,Ciudad de Buenos Aires,10.0,,ARG.5_1
112,Argentina,2020-04-14,Ciudad de Buenos Aires,22.0,,ARG.5_1
113,Argentina,2020-04-15,Ciudad de Buenos Aires,30.0,,ARG.5_1
114,Argentina,2020-04-16,Ciudad de Buenos Aires,15.0,,ARG.5_1
115,Argentina,2020-04-17,Ciudad de Buenos Aires,14.0,,ARG.5_1
116,Argentina,2020-04-18,Ciudad de Buenos Aires,14.0,,ARG.5_1
117,Argentina,2020-04-19,Ciudad de Buenos Aires,15.0,,ARG.5_1
118,Argentina,2020-04-20,Ciudad de Buenos Aires,22.0,,ARG.5_1
119,Argentina,2020-04-21,Ciudad de Buenos Aires,33.0,,ARG.5_1
120,Argentina,2020-04-22,Ciudad de Buenos Aires,39.0,,ARG.5_1
121,Argentina,2020-04-23,Ciudad de Buenos Aires,37.0,,ARG.5_1
122,Argentina,2020-04-24,Ciudad de Buenos Aires,79.0,,ARG.5_1
123,Argentina,2020-04-25,Ciudad de Buenos Aires,55.0,,ARG.5_1
124,Argentina,2020-04-26,Ciudad de Buenos Aires,36.0,,ARG.5_1
125,Argentina,2020-04-27,Ciudad de Buenos Aires,32.0,,ARG.5_1
