CODE_2,iso_alpha_3,RG_cumsum_10,date,RG_LON,RG_LAT,RG_pop_tot,RG_pop_tot_adj,RG_pop_65up,RG_pop_45_64,RG_pop_tot_perc_male,WB_gdp_pcap,WB_prevalence_diabetes,ST_tests,ST_stringency_index,RG_temp_med_30,RG_temp_min_30,RG_temp_max_30,RG_rh_med_30,RG_rh_max_30,RG_rh_min_30,RG_ah_med_30,RG_ah_min_30,RG_ah_max_30,RG_pm10,RG_pm25,RG_no2
CHN.6_1,CHN,1151,2/10/20,113.4845902,22.87138939,126315144,122643688,0.062489552,0.187262455,0.522540953,10261.67913,9.2,41373,75.46,15.79063757,4.087398439,27.97971558,68.35096621,18.13999959,98.2199978,7.521935316,2.369999947,13.00999971,253.4947064,180.5377781,46.17706232
CHN.7_1,CHN,226,2/14/20,108.983477,23.89147472,48332660,46928116,0.08595736,0.215533453,0.520998344,10261.67913,9.2,41373,75.46,14.58190142,3.861548505,26.09763279,82.85161105,27.94999938,99.99999776,8.629677226,3.549999921,14.01999969,66.7008657,47.75513717,16.05719031
CHN.8_1,CHN,140,2/14/20,106.6219693,26.92022514,34477240,33475210,0.083538332,0.206810436,0.51579965,10261.67913,9.2,41373,75.46,6.887732143,-2.611368538,22.84162957,86.67225613,36.99999917,100,5.918709545,4.03999991,10.10999977,64.08988318,45.94035794,18.42430715
CHN.9_1,CHN,157,2/14/20,109.629303,19.16106224,9935064,9646315,0.074098735,0.207237539,0.5309692,10261.67913,9.2,41373,75.46,20.37507367,12.15139932,25.71108194,81.89677236,50.40999887,97.63999782,11.32032233,6.329999859,14.26999968,55.76007198,39.57904147,10.8539422
COL.1_1,COL,93,5/1/20,-71.31469887,-2.03342998,143257,114269,0.023802494,0.100751777,0.509993413,6432.387583,7.4,108950,90.74,27.71841898,23.36282172,33.61727742,88.50838512,60.69999864,98.82999779,15.88806416,13.13999971,18.25999959,15.56489762,11.60713806,0.07619162
COL.10_1,COL,26,4/30/20,-76.86878639,2.135249496,1872671,1484054,0.054297976,0.148360232,0.505909501,6432.387583,7.4,104657,90.74,25.35203846,20.41808603,30.59725842,80.77128852,52.55999883,99.24999778,12.66322552,10.40999977,14.98999966,34.36266304,24.69353284,6.153728744
COL.11_1,COL,29,4/15/20,-73.63857552,9.269585609,1219317,966357,0.038352388,0.130434783,0.49974345,6432.387583,7.4,48556,84.26,28.21635364,22.57958573,35.39946505,67.21483721,30.54999932,98.83999779,11.71677393,7.559999831,15.24999966,30.18554689,22.70994726,2.704263876
COL.12_1,COL,22,5/11/20,-77.09122895,6.325695992,640210,507368,0.040378632,0.107450976,0.495563036,6432.387583,7.4,158933,87.04,27.59167028,23.54089571,34.00382827,90.50483669,60.77999864,99.95999777,16.46741899,14.13999968,19.21999957,14.52831754,10.40717595,0.828784702
COL.13_1,COL,23,5/5/20,-75.7076004,8.3992486,2513153,1991623,0.047168432,0.141287412,0.502268391,6432.387583,7.4,127105,90.74,29.92610676,25.22318817,35.36906217,81.12741754,55.49999876,96.88999783,16.50322544,13.83999969,18.51999959,27.8940995,20.86158427,3.124820788
COL.14_1,COL,60,4/1/20,-74.07842051,4.739000559,14062400,11144169,0.048924332,0.172164325,0.486382345,6432.387583,7.4,20253,87.96,14.79766376,7.651773693,22.28858678,85.37903035,39.72999911,100,7.097741777,3.939999912,11.77999974,32.61141165,23.68842264,5.077541641
COL.17_1,COL,44,4/2/20,-75.47967606,2.656000018,1489538,1180429,0.050045798,0.148549542,0.503065037,6432.387583,7.4,21412,87.96,21.2601196,15.6622076,27.61632883,85.09644971,47.28999894,100,10.28096751,6.929999845,15.68999965,22.58059562,16.57446513,2.544616462
COL.18_1,COL,29,5/19/20,-72.58838602,11.41972208,1575915,1249460,0.039254734,0.122046381,0.495740803,6432.387583,7.4,208046,87.04,19.02679253,15.51308873,24.12868464,85.89230577,55.41999876,97.10999783,10.04461516,6.499999855,12.35999972,22.7615998,17.54906982,1.010184765
COL.19_1,COL,64,5/1/20,-74.51789359,10.14800119,1548646,1227270,0.042707275,0.138143386,0.504098347,6432.387583,7.4,108950,90.74,19.71984733,15.53480507,24.37480316,84.6251594,55.41999876,96.77999784,9.719677202,6.499999855,12.84999971,22.7615998,17.54906982,1.010184765
COL.2_1,COL,139,3/28/20,-75.46800322,7.158850431,7929075,6283632,0.053734128,0.175687232,0.489927984,6432.387583,7.4,10851,87.96,21.82474444,15.22498529,28.92220473,78.94580469,34.00999924,100,9.692580429,5.81999987,12.67999972,30.34178979,21.78014457,7.480018545
COL.20_1,COL,47,4/15/20,-72.89260109,3.209100485,1405111,1113522,0.044613043,0.150192497,0.502500491,6432.387583,7.4,48556,84.26,16.1923198,10.38513701,23.08919584,86.78709483,36.93999917,100,7.682580473,4.279999904,11.27999975,32.61141165,23.68842264,5.077541641
COL.21_1,COL,29,4/10/20,-77.84775893,1.516111016,2150047,1704117,0.054696443,0.144743067,0.501414399,6432.387583,7.4,37876,87.96,17.4075008,12.135474,24.7454287,89.77193348,41.20999908,100,8.598709485,5.589999875,11.81999974,15.28644804,11.09121027,2.42470265
COL.22_1,COL,399,3/25/20,-72.88306493,8.071700096,1598980,1268242,0.049380654,0.150786494,0.496983988,6432.387583,7.4,8797,87.96,25.62519732,18.86898712,32.0421189,69.52064361,28.48999936,96.48999784,10.54290299,6.25999986,13.4799997,30.15069869,22.17817305,5.3533702
COL.24_1,COL,41,4/8/20,-75.73489448,4.422799349,707907,561002,0.06330056,0.192466918,0.491276641,6432.387583,7.4,33858,87.96,22.36499093,15.46676054,28.82954835,86.70225613,44.529999,100,11.0625804,7.209999839,13.5899997,34.50283521,24.84698524,6.558260246
COL.25_1,COL,48,4/4/20,-76.10630412,5.069000959,1093736,866764,0.058960641,0.185445626,0.48898346,6432.387583,7.4,23989,87.96,23.73694989,17.22723183,30.06593197,86.44903033,50.87999886,100,12.03129005,7.659999829,15.20999966,34.50283521,24.84698524,6.558260246
COL.27_1,COL,29,4/17/20,-73.28669285,6.913850308,2717092,2153241,0.057270454,0.164888031,0.494892334,6432.387583,7.4,55501,84.26,20.46931792,15.60140185,25.22174042,80.88903045,51.07999886,98.86999779,9.282903018,6.579999853,12.85999971,30.15069869,22.17817305,5.3533702
COL.29_1,COL,31,4/15/20,-75.1166369,4.127399921,1784531,1414205,0.064051352,0.176721614,0.504172338,6432.387583,7.4,48556,84.26,19.26875458,13.07506764,24.79899567,86.43548194,47.94999893,100,9.211935278,6.149999863,12.21999973,34.50283521,24.84698524,6.558260246
COL.30_1,COL,183,3/30/20,-76.2116119,4.020000219,5486852,4348220,0.056941998,0.173736163,0.487137721,6432.387583,7.4,13816,87.96,25.92548994,17.29961963,31.96104456,81.15741754,48.06999893,97.93999781,12.59096746,7.869999824,15.05999966,34.36266304,24.69353284,6.153728744
COL.4_1,COL,39,4/26/20,-75.00383758,10.6761508,3267205,2589194,0.04744256,0.156615875,0.493525299,6432.387583,7.4,87106,87.04,28.89502428,26.53919837,31.44274792,82.02483688,66.38999852,91.95999794,15.58387062,13.08999971,16.98999962,32.92465169,24.19089155,1.297253044
COL.5_1,COL,17,5/2/20,-74.25093914,8.887051106,3225324,2556004,0.046826156,0.145641662,0.500260054,6432.387583,7.4,114602,90.74,29.55758281,25.69515663,34.00093276,78.62451437,55.20999877,92.40999793,15.62354804,13.09999971,17.06999962,29.91258756,22.48156899,1.393697718
COL.6_1,COL,32,4/27/20,-72.91999739,5.83465004,1534939,1216408,0.068660077,0.165721668,0.499304043,6432.387583,7.4,90899,90.74,17.45849917,11.3855364,24.21265449,79.77483693,37.71999916,100,7.757419181,5.219999883,9.679999784,20.09272211,14.72346505,5.599205248
COL.7_1,COL,30,4/8/20,-75.30630018,5.282949925,1083064,858306,0.064657592,0.190052214,0.490092456,6432.387583,7.4,33858,87.96,19.95270254,13.35738006,26.03537929,84.981611,44.919999,100,9.487741723,6.489999855,11.98999973,29.71990475,21.35508962,5.711015507
CRI.1_1,CRI,99,3/29/20,-84.47264011,10.45471001,978254,1021307,0.063750647,0.187430258,0.496358217,12238.37496,9.1,3357,71.3,24.27691618,17.94676656,30.676885,64.65161146,29.76999933,91.25999796,9.059999797,5.469999878,11.46999974,19.26554106,13.9961661,4.263538559
CRI.2_1,CRI,31,4/6/20,-83.68829898,9.823135376,542364,566274,0.064203828,0.195238005,0.490939351,12238.37496,9.1,5291,75,21.87326761,16.52507017,27.80598486,74.54128866,41.48999907,97.01999783,9.244193342,6.589999853,11.50999974,19.26554106,13.9961661,4.263538559
CRI.3_1,CRI,11,4/16/20,-85.28302147,10.47472191,393055,410343,0.066458346,0.18795636,0.495916259,12238.37496,9.1,7279,75.93,31.27149239,22.94442024,38.77418426,56.83451486,22.3799995,92.60999793,11.67548361,6.739999849,17.8499996,17.69709183,13.18802443,1.447433744
