"","state","date","site","dailycases"
"133","Norway",2020-08-06,"Agder",2
"134","Norway",2020-08-07,"Agder",0
"135","Norway",2020-08-08,"Agder",1
"136","Norway",2020-08-09,"Agder",0
"137","Norway",2020-08-10,"Agder",0
"138","Norway",2020-08-11,"Agder",1
"139","Norway",2020-08-12,"Agder",2
"140","Norway",2020-08-13,"Agder",1
"141","Norway",2020-08-14,"Agder",5
"142","Norway",2020-08-15,"Agder",1
"143","Norway",2020-08-16,"Agder",3
"144","Norway",2020-08-17,"Agder",4
"145","Norway",2020-08-18,"Agder",0
"146","Norway",2020-08-19,"Agder",4
"147","Norway",2020-08-20,"Agder",0
"148","Norway",2020-08-21,"Agder",0
"149","Norway",2020-08-22,"Agder",2
"150","Norway",2020-08-23,"Agder",1
"151","Norway",2020-08-24,"Agder",1
"152","Norway",2020-08-25,"Agder",5
"153","Norway",2020-08-26,"Agder",2
"154","Norway",2020-08-27,"Agder",1
"155","Norway",2020-08-28,"Agder",7
"156","Norway",2020-08-29,"Agder",5
"157","Norway",2020-08-30,"Agder",1
"158","Norway",2020-08-31,"Agder",1
"159","Norway",2020-09-01,"Agder",2
"160","Norway",2020-09-02,"Agder",2
"161","Norway",2020-09-03,"Agder",8
"162","Norway",2020-09-04,"Agder",-2
"163","Norway",2020-09-05,"Agder",2
"164","Norway",2020-09-06,"Agder",1
"165","Norway",2020-09-07,"Agder",0
"166","Norway",2020-09-08,"Agder",1
"167","Norway",2020-09-09,"Agder",1
"168","Norway",2020-09-10,"Agder",2
"169","Norway",2020-09-11,"Agder",1
"170","Norway",2020-09-12,"Agder",3
"171","Norway",2020-09-13,"Agder",0
"172","Norway",2020-09-14,"Agder",0
"173","Norway",2020-09-15,"Agder",-1
"174","Norway",2020-09-16,"Agder",3
"175","Norway",2020-09-17,"Agder",1
"176","Norway",2020-09-18,"Agder",2
"177","Norway",2020-09-19,"Agder",9
"178","Norway",2020-09-20,"Agder",2
"179","Norway",2020-09-21,"Agder",2
"180","Norway",2020-09-22,"Agder",-3
"181","Norway",2020-09-23,"Agder",4
